# flair_url_clusters.tsv - one row per keyword in a 200 cluster
cluster_url	winner_id	keyword	redundant_tail
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_tennis.svg	tennis	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_thanksgiving.svg	thanksgiving	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_triathlon.svg	triathlon	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_trip.svg	trip	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_valentinesday.svg	valentinesday	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_videocall.svg	videocall	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_videogaming.svg	videogaming	2	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_volleyball.svg	volleyball	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_wedding.svg	wedding	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_xmas.svg	xmas	2	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_yoga.svg	yoga	1	0
